"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 04:28:33 GMT 2023","Thu Feb 09 04:28:39 GMT 2023","6584","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Date""","User click on the ""Date""",""
"passed","Thu Feb 09 04:27:03 GMT 2023","Thu Feb 09 04:27:10 GMT 2023","6703","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Depature Date""","User click on the ""Depature Date""",""
"skipped","Thu Feb 09 04:27:22 GMT 2023","Thu Feb 09 04:27:22 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Date1""","User click on the ""Date1""",""
"passed","Thu Feb 09 04:25:22 GMT 2023","Thu Feb 09 04:25:25 GMT 2023","2683","","Find flight process","","Find flight process","User enters text in text field ""To_1"" from given sheet ""TestData""","User enters text in text field ""To_1"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:26:09 GMT 2023","Thu Feb 09 04:26:13 GMT 2023","3880","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:27:39 GMT 2023","Thu Feb 09 04:27:43 GMT 2023","3818","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:29:49 GMT 2023","Thu Feb 09 04:29:52 GMT 2023","2900","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:27:43 GMT 2023","Thu Feb 09 04:27:51 GMT 2023","8675","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""BUS tab""","User click on the ""BUS tab""",""
"passed","Thu Feb 09 04:27:10 GMT 2023","Thu Feb 09 04:27:16 GMT 2023","6592","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Date""","User click on the ""Date""",""
"skipped","Thu Feb 09 04:25:51 GMT 2023","Thu Feb 09 04:25:51 GMT 2023","3","","Find flight process","","Find flight process","User click on the ""Class Drop down""","User click on the ""Class Drop down""",""
"passed","Thu Feb 09 04:24:54 GMT 2023","Thu Feb 09 04:24:59 GMT 2023","4999","","Find flight process","","Find flight process","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"failed","Thu Feb 09 04:27:16 GMT 2023","Thu Feb 09 04:27:22 GMT 2023","5643","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Add Return Date""","User click on the ""Add Return Date""",""
"skipped","Thu Feb 09 04:25:51 GMT 2023","Thu Feb 09 04:25:51 GMT 2023","1","","Find flight process","","Find flight process","User click on the ""Done button""","User click on the ""Done button""",""
"passed","Thu Feb 09 04:28:10 GMT 2023","Thu Feb 09 04:28:17 GMT 2023","6660","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Bus Search To text field""","User click on the ""Bus Search To text field""",""
"passed","Thu Feb 09 04:24:59 GMT 2023","Thu Feb 09 04:25:06 GMT 2023","6694","","Find flight process","","Find flight process","User click on the ""From text field""","User click on the ""From text field""",""
"passed","Thu Feb 09 04:29:02 GMT 2023","Thu Feb 09 04:29:06 GMT 2023","3810","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:26:22 GMT 2023","Thu Feb 09 04:26:25 GMT 2023","2879","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","Verify the ""flight home page"" with ""flight home page title"" from given sheet ""TestData""","Verify the ""flight home page"" with ""flight home page title"" from given sheet ""TestData""",""
"skipped","Thu Feb 09 04:25:51 GMT 2023","Thu Feb 09 04:25:51 GMT 2023","1","","Find flight process","","Find flight process","User click on the ""Economy""","User click on the ""Economy""",""
"skipped","Thu Feb 09 04:27:22 GMT 2023","Thu Feb 09 04:27:22 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""TRAVELLERS & CABIN Drop down""","User click on the ""TRAVELLERS & CABIN Drop down""",""
"failed","Thu Feb 09 04:25:44 GMT 2023","Thu Feb 09 04:25:51 GMT 2023","6107","","Find flight process","","Find flight process","User click on the ""TRAVELLERS & CABIN Drop down""","User click on the ""TRAVELLERS & CABIN Drop down""",""
"passed","Thu Feb 09 04:29:35 GMT 2023","Thu Feb 09 04:29:39 GMT 2023","3801","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:28:26 GMT 2023","Thu Feb 09 04:28:33 GMT 2023","6619","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Bus Depature Date""","User click on the ""Bus Depature Date""",""
"passed","Thu Feb 09 04:26:13 GMT 2023","Thu Feb 09 04:26:22 GMT 2023","8747","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""FLIGHT tab""","User click on the ""FLIGHT tab""",""
"failed","Thu Feb 09 04:28:39 GMT 2023","Thu Feb 09 04:28:45 GMT 2023","5643","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Bus Search button""","User click on the ""Bus Search button""",""
"passed","Thu Feb 09 04:29:02 GMT 2023","Thu Feb 09 04:29:02 GMT 2023","1","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Thu Feb 09 04:26:09 GMT 2023","Thu Feb 09 04:26:09 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Thu Feb 09 04:27:39 GMT 2023","Thu Feb 09 04:27:39 GMT 2023","1","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Thu Feb 09 04:28:19 GMT 2023","Thu Feb 09 04:28:26 GMT 2023","6648","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Hyderabad""","User click on the ""Hyderabad""",""
"passed","Thu Feb 09 04:25:38 GMT 2023","Thu Feb 09 04:25:44 GMT 2023","6585","","Find flight process","","Find flight process","User click on the ""Date""","User click on the ""Date""",""
"passed","Thu Feb 09 04:25:31 GMT 2023","Thu Feb 09 04:25:38 GMT 2023","6676","","Find flight process","","Find flight process","User click on the ""Depature Date""","User click on the ""Depature Date""",""
"passed","Thu Feb 09 04:26:25 GMT 2023","Thu Feb 09 04:26:31 GMT 2023","6669","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Round trip radio button""","User click on the ""Round trip radio button""",""
"passed","Thu Feb 09 04:26:38 GMT 2023","Thu Feb 09 04:26:41 GMT 2023","2673","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User enters text in text field ""From"" from given sheet ""TestData""","User enters text in text field ""From"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:25:15 GMT 2023","Thu Feb 09 04:25:22 GMT 2023","6700","","Find flight process","","Find flight process","User click on the ""To text field""","User click on the ""To text field""",""
"passed","Thu Feb 09 04:24:54 GMT 2023","Thu Feb 09 04:24:54 GMT 2023","12","","Find flight process","","Find flight process","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Thu Feb 09 04:29:16 GMT 2023","Thu Feb 09 04:29:19 GMT 2023","2917","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""",""
"skipped","Thu Feb 09 04:27:22 GMT 2023","Thu Feb 09 04:27:22 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Search button""","User click on the ""Search button""",""
"passed","Thu Feb 09 04:26:31 GMT 2023","Thu Feb 09 04:26:38 GMT 2023","6627","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""From text field""","User click on the ""From text field""",""
"passed","Thu Feb 09 04:29:39 GMT 2023","Thu Feb 09 04:29:49 GMT 2023","10333","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","User click on the ""PACKAGES tab""","User click on the ""PACKAGES tab""",""
"skipped","Thu Feb 09 04:27:22 GMT 2023","Thu Feb 09 04:27:22 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Economy""","User click on the ""Economy""",""
"passed","Thu Feb 09 04:26:54 GMT 2023","Thu Feb 09 04:26:56 GMT 2023","2623","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User enters text in text field ""To_2"" from given sheet ""TestData""","User enters text in text field ""To_2"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:28:03 GMT 2023","Thu Feb 09 04:28:10 GMT 2023","6606","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Chennai""","User click on the ""Chennai""",""
"skipped","Thu Feb 09 04:27:22 GMT 2023","Thu Feb 09 04:27:22 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Class Drop down""","User click on the ""Class Drop down""",""
"passed","Thu Feb 09 04:25:06 GMT 2023","Thu Feb 09 04:25:08 GMT 2023","2926","","Find flight process","","Find flight process","User enters text in text field ""From"" from given sheet ""TestData""","User enters text in text field ""From"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:29:06 GMT 2023","Thu Feb 09 04:29:16 GMT 2023","10435","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","User click on the ""PACKAGES tab""","User click on the ""PACKAGES tab""",""
"skipped","Thu Feb 09 04:25:51 GMT 2023","Thu Feb 09 04:25:51 GMT 2023","1","","Find flight process","","Find flight process","User click on the ""Search button""","User click on the ""Search button""",""
"passed","Thu Feb 09 04:27:51 GMT 2023","Thu Feb 09 04:27:54 GMT 2023","2838","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","Verify the ""Bus home page"" with ""Bus home page title"" from given sheet ""TestData""","Verify the ""Bus home page"" with ""Bus home page title"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:29:35 GMT 2023","Thu Feb 09 04:29:35 GMT 2023","0","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"skipped","Thu Feb 09 04:27:22 GMT 2023","Thu Feb 09 04:27:22 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Done button""","User click on the ""Done button""",""
"passed","Thu Feb 09 04:27:54 GMT 2023","Thu Feb 09 04:28:01 GMT 2023","6611","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Bus Search From text field""","User click on the ""Bus Search From text field""",""
"passed","Thu Feb 09 04:26:56 GMT 2023","Thu Feb 09 04:27:03 GMT 2023","6632","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Goa (GOI)""","User click on the ""Goa (GOI)""",""
"passed","Thu Feb 09 04:28:01 GMT 2023","Thu Feb 09 04:28:03 GMT 2023","2637","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User enters text in text field ""Bus Search From"" from given sheet ""TestData""","User enters text in text field ""Bus Search From"" from given sheet ""TestData""",""
"passed","Thu Feb 09 04:25:25 GMT 2023","Thu Feb 09 04:25:31 GMT 2023","6656","","Find flight process","","Find flight process","User click on the ""Goa (GOI)""","User click on the ""Goa (GOI)""",""
"passed","Thu Feb 09 04:26:47 GMT 2023","Thu Feb 09 04:26:54 GMT 2023","6629","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""To text field""","User click on the ""To text field""",""
